Id,Model,Price,Age_08_04,KM,HP,CC,Doors,Cylinders,Quarterly_Tax,Weight,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Parking_Assistant,Tow_Bar
1,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,23,46986,90,2000,3,4,210,1165,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
2,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13750,23,72937,90,2000,3,4,210,1165,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0
3,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13950,24,41711,90,2000,3,4,210,1165,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,14950,26,48000,90,2000,3,4,210,1165,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
5,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13750,30,38500,90,2000,3,4,210,1170,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
6,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,12950,32,61000,90,2000,3,4,210,1170,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
7,TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,16900,27,94612,90,2000,3,4,210,1245,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
8,TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,18600,30,75889,90,2000,3,4,210,1245,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
9,TOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,21500,27,19700,192,1800,3,4,100,1185,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0
10,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,12950,23,71138,69,1900,3,4,185,1105,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
11,TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors,20950,25,31461,192,1800,3,4,100,1185,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0
12,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,19950,22,43610,192,1800,3,4,100,1185,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0
13,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,19600,25,32189,192,1800,3,4,100,1185,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0
14,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,21500,31,23000,192,1800,3,4,100,1185,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
15,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22500,32,34131,192,1800,3,4,100,1185,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
16,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22000,28,18739,192,1800,3,4,100,1185,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0
17,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22750,30,34000,192,1800,3,4,100,1185,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
18,TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors,17950,24,21716,110,1600,3,4,85,1105,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1
19,TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,16750,24,25563,110,1600,3,4,19,1065,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
20,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,16950,30,64359,110,1600,3,4,85,1105,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
21,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,15950,30,67660,110,1600,3,4,85,1105,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
